レースID,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,馬場,距離,1着フラグ,3着内フラグ
202001010101,1,6,6,ウインルーア,牝2,54.0,横山武史,1:49.7,,16.0,3.0,438(+4),[東] 青木孝文,芝,1800,1,1
202001010101,2,2,2,アークライト,牡2,54.0,ルメール,1:50.0,1.3/4,1.9,2.0,510(0),[東] 藤沢和雄,芝,1800,0,1
202001010101,3,3,3,ギャラントウォリア,牡2,54.0,池添謙一,1:50.1,1/2,1.8,1.0,482(-6),[西] 平田修,芝,1800,0,1
202001010101,4,1,1,ジュンブーケ,牝2,52.0,亀田温心,1:50.5,2.1/2,22.2,4.0,442(0),[西] 森秀行,芝,1800,0,0
202001010101,5,4,4,キタノマンゲツ,牡2,54.0,藤岡康太,1:51.0,3,55.7,5.0,426(-8),[西] 中尾秀正,芝,1800,0,0
202001010101,6,5,5,アイフレンズ,牝2,54.0,黛弘人,1:52.7,大,73.9,6.0,426(-2),[東] 中野栄治,芝,1800,0,0
202001010102,1,3,4,バトルピアサー,牝3,54.0,川島信二,1:46.2,,2.7,1.0,406(-2),[西] 荒川義之,ダート,1700,1,1
202001010102,2,8,14,バーミーズ,牝3,54.0,丹内祐次,1:46.9,4,6.3,3.0,456(0),[西] 飯田雄三,ダート,1700,0,1
202001010102,3,8,13,ノーブルローズ,牝3,54.0,大野拓弥,1:47.0,1/2,19.1,8.0,446(-2),[東] 高柳瑞樹,ダート,1700,0,1
202001010102,4,4,6,グッドラックスター,牝3,54.0,荻野琢真,1:47.1,1/2,3.9,2.0,434(-6),[西] 野中賢二,ダート,1700,0,0
202001010102,5,3,3,デルマルビー,牝3,54.0,横山和生,1:47.3,1.1/4,16.8,6.0,462(-4),[西] 千田輝彦,ダート,1700,0,0
202001010102,6,7,12,アマデトワール,牝3,54.0,藤岡康太,1:47.8,3,15.9,5.0,446(+4),[西] 高橋康之,ダート,1700,0,0
202001010102,7,6,9,ミツルザビクトリー,牝3,52.0,亀田温心,1:48.0,1.1/2,56.1,12.0,438(-4),[西] 南井克巳,ダート,1700,0,0
202001010102,8,5,8,キモンルビー,牝3,51.0,山田敬士,1:48.0,ハナ,41.8,11.0,462(0),[西] 村山明,ダート,1700,0,0
202001010102,9,1,1,ムーンフェアリー,牝3,51.0,秋山稔樹,1:48.1,クビ,22.3,9.0,450(+6),[東] 岩戸孝樹,ダート,1700,0,0
202001010102,10,4,5,シゲルハクチョウザ,牝3,54.0,加藤祥太,1:48.2,3/4,25.4,10.0,444(-2),[西] 藤沢則雄,ダート,1700,0,0
202001010102,11,6,10,フェデネージュ,牝3,54.0,岩田康誠,1:48.4,3/4,18.6,7.0,444(+4),[東] 国枝栄,ダート,1700,0,0
202001010102,12,2,2,ラインキャロット,牝3,54.0,石川裕紀,1:48.9,3,133.5,14.0,430(+4),[東] 水野貴広,ダート,1700,0,0
202001010102,13,7,11,サイモンベラーノ,牝3,54.0,柴山雄一,1:49.3,2.1/2,9.3,4.0,476(+4),[東] 根本康広,ダート,1700,0,0
202001010102,14,5,7,クイックスタディ,牝3,53.0,団野大成,1:50.9,10,120.9,13.0,462(-8),[東] 矢野英一,ダート,1700,0,0
202001010103,1,2,2,フリークアウト,牝3,54.0,藤岡佑介,1:28.5,,2.9,2.0,448(-2),[西] 中内田充,芝,1500,1,1
202001010103,2,4,6,クァンタムリープ,牡3,56.0,ルメール,1:28.8,2,2.3,1.0,474(+4),[東] 鹿戸雄一,芝,1500,0,1
202001010103,3,7,12,クレアーレ,牡3,54.0,亀田温心,1:28.8,クビ,25.0,7.0,448(-12),[西] 池江泰寿,芝,1500,0,1
202001010103,4,3,4,タツハグンセイ,牡3,56.0,古川吉洋,1:29.0,1.1/4,12.9,5.0,464(+4),[西] 鮫島一歩,芝,1500,0,0
202001010103,5,7,11,ラブアンバサダー,牝3,54.0,武豊,1:29.1,クビ,7.4,3.0,430(0),[西] 松永幹夫,芝,1500,0,0
202001010103,6,8,14,ルーターズ,牝3,54.0,藤岡康太,1:29.1,アタマ,10.3,4.0,402(0),[西] 宮徹,芝,1500,0,0
202001010103,7,5,8,レッドキュリアス,牝3,54.0,横山武史,1:29.1,クビ,89.8,10.0,422(-4),[西] 松永幹夫,芝,1500,0,0
202001010103,8,3,3,ミッキーローズ,牝3,53.0,団野大成,1:29.2,クビ,85.8,9.0,406(-10),[西] 池江泰寿,芝,1500,0,0
202001010103,8,8,13,ブライドグルーム,牡3,56.0,浜中俊,1:29.2,同着,25.6,8.0,448(+4),[東] 堀宣行,芝,1500,0,0
202001010103,10,6,9,エンジェルエナ,牝3,54.0,池添謙一,1:29.3,3/4,90.1,11.0,426(0),[東] 大竹正博,芝,1500,0,0
202001010103,11,6,10,ミルキーハート,牝3,54.0,丹内祐次,1:29.4,1/2,23.8,6.0,448(0),[東] 牧光二,芝,1500,0,0
202001010103,12,4,5,アンネローゼ,牝3,54.0,荻野琢真,1:29.9,3,211.3,13.0,444(-6),[東] 大和田成,芝,1500,0,0
202001010103,13,1,1,ステーションワン,牡3,56.0,国分恭介,1:30.5,3.1/2,239.1,14.0,456(-6),[西] 牧田和弥,芝,1500,0,0
202001010103,14,5,7,カドーダンジュ,牝3,54.0,大野拓弥,1:50.3,大,116.7,12.0,456(0),[東] 久保田貴,芝,1500,0,0
202001010104,1,8,13,エンペラーズパレス,牡3,56.0,水口優也,1:46.3,,42.2,10.0,492(-2),[西] 羽月友彦,ダート,1700,1,1
202001010104,2,2,2,マイネルパイオニア,牡3,56.0,横山武史,1:46.6,1.3/4,4.6,2.0,462(-2),[東] 中舘英二,ダート,1700,0,1
202001010104,3,6,10,ウォータージョイ,牡3,56.0,国分恭介,1:46.8,1.1/4,37.1,9.0,476(-6),[西] 岡田稲男,ダート,1700,0,1
202001010104,4,5,7,モズナガレボシ,牡3,56.0,大野拓弥,1:46.9,1/2,5.2,4.0,488(+6),[西] 荒川義之,ダート,1700,0,0
202001010104,5,3,3,サウンドトラック,牡3,56.0,ルメール,1:46.9,クビ,3.3,1.0,508(+10),[東] 尾関知人,ダート,1700,0,0
202001010104,6,7,12,シェノン,牡3,56.0,吉田隼人,1:47.0,1/2,33.1,8.0,468(+2),[西] 矢作芳人,ダート,1700,0,0
202001010104,7,5,8,サイモンバトラー,牡3,56.0,黛弘人,1:47.0,ハナ,210.0,14.0,458(-2),[東] 矢野英一,ダート,1700,0,0
202001010104,8,1,1,トクシーズファー,牝3,54.0,横山和生,1:47.2,1.1/4,49.3,12.0,434(+2),[東] 戸田博文,ダート,1700,0,0
202001010104,9,4,6,ウラワザテクニック,牡3,56.0,丹内祐次,1:47.3,1/2,13.9,6.0,476(+2),[東] 宗像義忠,ダート,1700,0,0
202001010104,10,7,11,サーストンシカゴ,牡3,56.0,菱田裕二,1:47.5,1.1/4,12.2,5.0,500(-2),[西] 橋田満,ダート,1700,0,0
